food_name,recipe_title,recipe_url,calories_url,source_page_number,ingredient_count,ingredient_sections,serving_label,nutrient_heading,carbohydrates_value,cholesterol_value,energy_value,fat_value,fiber_value,protein_value,sodium_value
Whipped Cream Using Fresh Cream ( Cakes And Pastries),Whipped Cream Using Fresh Cream ( Cakes And Pastries) Recipe,https://www.tarladalal.com/whipped-cream-from-amul-fresh-cream-using-25-percent-milk-fat-cream-36911r,https://www.tarladalal.com/calories-for-Whipped-Cream-From-Amul-Fresh-Cream-Using-25-Percent-Milk-Fat-Cream-36911,45,2,For Whipped Cream Using Fresh Cream,cup,Nutrient values (Abbrv) per cup,17.9 g,0 mg,639 Calories,62.5 g,0.0 g,4.4 g,69 mg
Vegetable And Fruit Salad,Vegetable And Fruit Salad Recipe,https://www.tarladalal.com/fruit-and-vegetable-salad-with-low-calorie-thousand-island-dressing-32991r,https://www.tarladalal.com/calories-for-Fruit-and-Vegetable-Salad-with-Low-Calorie-Thousand-Island-Dressing-32991,45,12,For Fruit and Vegetable Salad | To Be Mixed Together Into A Low-calorie Thousand Island Dressing,serving,Nutrient values (Abbrv) per serving,12.6 g,2 mg,67 Calories,1.2 g,2.3 g,1.6 g,125 mg
Pumpkin Potato Sabzi,Pumpkin Potato Sabzi Recipe,https://www.tarladalal.com/pumpkin-potato-sabzi-rajasthani-style-1500r,https://www.tarladalal.com/calories-for-Pumpkin-Potato-Sabzi-Rajasthani-Style-1500,45,19,For Pumpkin Potato Sabzi,serving,Nutrient values (Abbrv) per serving,10.9 g,2 mg,138 Calories,9.4 g,1.3 g,1.7 g,11 mg
Low Calorie Medu Vada,Low Calorie Medu Vada Recipe (Non Fried Medu Vada),https://www.tarladalal.com/low-calorie-medu-vada-40194r,https://www.tarladalal.com/calories-for-Low-Calorie-Medu-Vada-40194,45,8,For Low Calorie Medu Vada | For Serving,servings (25 vadas),Nutrient values (Abbrv) per servings (25 vadas),25.0 g,0 mg,155 Calories,1.6 g,4.9 g,10.1 g,17 mg
Cheese Burst Dosa,Cheese Burst Dosa Recipe (Cheese Burst Dosa Rolls),https://www.tarladalal.com/cheese-burst-dosa-rolls-indian-cheese-dosa-snack-42167r,https://www.tarladalal.com/calories-for-Cheese-Burst-Dosa-Rolls-Indian-Cheese-Dosa-Snack-42167,45,11,For Cheese Burst Dosa Rolls,dosa,Nutrient values (Abbrv) per dosa,25.0 g,32 mg,325 Calories,11.4 g,2.1 g,30.8 g,309 mg
Bread Loaf,Bread Loaf Recipe (Basic White Bread Loaf Using Yeast),https://www.tarladalal.com/bread-loaf-basic-white-bread-loaf-using-yeast-2448r,https://www.tarladalal.com/calories-for-Bread-Loaf-Basic-White-Bread-Loaf-Using-Yeast-2448,45,7,For Bread Loaf,bread loaf,Nutrient values (Abbrv) per bread loaf,235.0 g,98 mg,1369 Calories,34.1 g,0.8 g,30.3 g,2286 mg
Sugarfree Strawberry Ice-Cream,Sugarfree Strawberry Ice-Cream Recipe,https://www.tarladalal.com/sugarfree-strawberry-ice-cream-3479r,https://www.tarladalal.com/calories-for-Sugarfree-Strawberry-Ice-cream-3479,45,4,Main Recipe,,Nutrient values (Abbrv) per null,16.3 g,0 mg,90 Calories,0.5 g,1.7 g,5.4 g,63 mg
Fresh Garlic Chutney,Fresh Garlic Chutney Recipe,https://www.tarladalal.com/fresh-garlic-chutney-22267r,https://www.tarladalal.com/calories-for-Fresh-Garlic-Chutney-22267,45,6,For Garlic Chutney,cup,Nutrient values (Abbrv) per cup,37.4 g,0 mg,204 Calories,0.5 g,8.0 g,10.4 g,15 mg
Strawberry Almond Milk And Oats Smoothie,Strawberry Almond Milk And Oats Smoothie Recipe,https://www.tarladalal.com/strawberry-almond-milk-and-oats-smoothie-42345r,https://www.tarladalal.com/calories-for-Strawberry-Almond-Milk-and-Oats-Smoothie-42345,45,4,Main Ingredients,glasse,Nutrient values (Abbrv) per glasse,19.5 g,0 mg,118 Calories,2.8 g,3.5 g,4.0 g,41 mg
Milagai Podi,Milagai Podi Recipe (Malgapodi Powder),https://www.tarladalal.com/milagai-podi-malgapodi-powder-south-indian-gun-powder-recipe-41383r,https://www.tarladalal.com/calories-for-Milagai-Podi-Malgapodi-Powder-South-Indian-Gun-Powder-Recipe-41383,45,6,For Milagai Podi,cup,Nutrient values (Abbrv) per cup,71.6 g,0 mg,420 Calories,2.3 g,14.6 g,28.3 g,53 mg
Paneer Stuffed Green Pea Paratha,Paneer Stuffed Green Pea Paratha Recipe,https://www.tarladalal.com/paneer-stuffed-green-pea-paratha-matar-paneer-paratha-3442r,https://www.tarladalal.com/calories-for-Paneer-Stuffed-Green-Pea-Paratha-Matar-Paneer-Paratha-3442,45,11,For The Dough | For The Paneer Stuffing | Other Ingredients For Paneer Stuffed Green Pea Paratha,paratha,Nutrient values (Abbrv) per paratha,21.9 g,0 mg,178 Calories,7.3 g,4.7 g,6.9 g,6 mg
Potato Rosti ( Cheesy ),Potato Rosti ( Cheesy ) Recipe,https://www.tarladalal.com/potato-rosti--cheesy--37458r,https://www.tarladalal.com/calories-for-Potato-Rosti--Cheesy--37458,45,7,For Serving | Main Ingredients,rosti,Nutrient values (Abbrv) per rosti,37.5 g,0 mg,313 Calories,14.9 g,2.6 g,7.5 g,116 mg
Paneer,Paneer Recipe (Palak And Methi Stuffed Roti),https://www.tarladalal.com/paneer-palak-and-methi-stuffed-roti-2981r,https://www.tarladalal.com/calories-for-Paneer-Palak-and-Methi-Stuffed-Roti-2981,45,16,For The Dough | Other Ingredients | To Be Mixed Into A Stuffing,roti,Nutrient values (Abbrv) per roti,13.5 g,0 mg,114 Calories,5.3 g,2.7 g,3.4 g,16 mg
Eggless Molten Lava Cake,Eggless Molten Lava Cake Recipe (Indian Chocolate Lava Cake),https://www.tarladalal.com/molten-lava-cake-42582r,https://www.tarladalal.com/calories-for-Molten-Lava-Cake-42582,45,7,for eggless molten lava cake,serving,Nutrient values (Abbrv) per serving,45.6 g,14 mg,347 Calories,19.4 g,2.3 g,7.8 g,37 mg
Sannas,Sannas Recipe (Goan Steamed Rice Bread),https://www.tarladalal.com/sannas-recipe-goan-steamed-rice-bread-42082r,https://www.tarladalal.com/calories-for-Sannas-Recipe-Goan-Steamed-Rice-Bread-42082,45,5,for Goan Steamed Rice Bread,sanna,Nutrient values (Abbrv) per sanna,29.2 g,0 mg,157 Calories,3.3 g,2.3 g,2.5 g,4 mg
Kale Angoor Ka Raita,Kale Angoor Ka Raita Recipe,https://www.tarladalal.com/kale-angoor-ka-raita-6485r,https://www.tarladalal.com/calories-for-Kale-Angoor-ka-Raita-6485,45,6,Main Ingredients,serving,Nutrient values (Abbrv) per serving,12.0 g,12 mg,123 Calories,5.0 g,0.6 g,3.5 g,14 mg
Soya Poha,Soya Poha Recipe (Healthy Nutrela Soya Poha),https://www.tarladalal.com/soya-poha-22271r,https://www.tarladalal.com/calories-for-Soya-Poha-22271,46,14,For Soya Poha | For The Garnish,serving,Nutrient values (Abbrv) per serving,11.3 g,0 mg,170 Calories,7.8 g,8.7 g,13.7 g,4 mg
Sprouts And Palak Idli,Sprouts And Palak Idli Recipe (Sprouts Spinach Idli),https://www.tarladalal.com/sprouts-and-palak-idli-42674r,https://www.tarladalal.com/calories-for-Sprouts-and-Palak-Idli-42674,46,8,For Serving With Sprouts and Palak Idli | For Sprouts and Palak Idli,idli,Nutrient values (Abbrv) per idli,2.9 g,0 mg,18 Calories,0.2 g,0.9 g,1.2 g,3 mg
Brinjal Rice,Brinjal Rice Recipe,https://www.tarladalal.com/brinjal-rice-38447r,https://www.tarladalal.com/calories-for-Brinjal-Rice-38447,46,23,For Brinjal Rice | For The Spice Powder,serving,Nutrient values (Abbrv) per serving,50.7 g,0 mg,361 Calories,14.4 g,7.8 g,7.9 g,12 mg
Kuttu Paratha,Kuttu Paratha Recipe (Kuttu Roti),https://www.tarladalal.com/kuttu-ka-paratha-kuttu-ki-roti-43101r,https://www.tarladalal.com/calories-for-Kuttu-ka-Paratha-Kuttu-ki-Roti-43101,46,8,For Kuttu ka Paratha,paratha,Nutrient values (Abbrv) per paratha,15.0 g,0 mg,93 Calories,3.1 g,2.1 g,2.6 g,3 mg
Cabbage Vatana Nu Shaak,Cabbage Vatana Nu Shaak Recipe,https://www.tarladalal.com/cabbage-vatana-nu-shaak-35931r,https://www.tarladalal.com/calories-for-Cabbage-Vatana-Nu-Shaak-35931,46,9,For Cabbage Vatana Nu Shaak,serving,Nutrient values (Abbrv) per serving,8.4 g,0 mg,83 Calories,3.8 g,4.7 g,3.6 g,14 mg
Bottle Gourd Soup For Babies,Bottle Gourd Soup For Babies Recipe (Kids),https://www.tarladalal.com/doodhi-soup----baby-and-toddler-38833r,https://www.tarladalal.com/calories-for-Doodhi-Soup----Baby-and-Toddler-38833,46,1,For Doodhi Soup,cup,Nutrient values (Abbrv) per cup,2.7 g,0 mg,13 Calories,0.1 g,2.1 g,0.2 g,2 mg
Whole Wheat Bread,Whole Wheat Bread Recipe (100% Whole Wheat Bread),https://www.tarladalal.com/whole-wheat-bread-whole-wheat-bread-loaf-using-instant-dry-yeast-3101r,https://www.tarladalal.com/calories-for-Whole-Wheat-Bread-Whole-Wheat-Bread-Loaf-Using-Instant-Dry-Yeast-3101,46,7,For Whole Wheat Bread,bread loaf,Nutrient values (Abbrv) per bread loaf,267.8 g,0 mg,1501 Calories,36.2 g,37.4 g,39.3 g,2004 mg
Mango Tarts,Mango Tarts Recipe (Vegetarian Recipes),https://www.tarladalal.com/mango-tarts-137r,https://www.tarladalal.com/calories-for-Mango-Tarts-137,46,14,For the lemon filling | For the tart cases | Other ingredients,,Nutrient values (Abbrv) per null,40.2 g,10 mg,223 Calories,6.3 g,0.5 g,1.5 g,48 mg
Carrot Beetroot Raita For Weight Loss,Carrot Beetroot Raita For Weight Loss Recipe,https://www.tarladalal.com/carrot-beetroot-raita-for-weight-loss-32996r,https://www.tarladalal.com/calories-for-Carrot-Beetroot-Raita-for-Weight-Loss-32996,46,7,For Carrot Beetroot Raita,serving,Nutrient values (Abbrv) per serving,6.7 g,11 mg,94 Calories,4.4 g,1.4 g,3.4 g,30 mg
Boiled Onion Paste,Boiled Onion Paste Recipe (Indian Onion Paste),https://www.tarladalal.com/boiled-onion-paste-22393r,https://www.tarladalal.com/calories-for-Boiled-Onion-Paste-22393,46,4,For Boiled Onion Paste,tablespoon,Nutrient values (Abbrv) per tablespoon,1.8 g,0 mg,8 Calories,0.0 g,0.1 g,0.2 g,1 mg
Mysore Chutney,Mysore Chutney Recipe (South Indian Mysore Chutney),https://www.tarladalal.com/mysore-chutney-south-indian-mysore-chutney-1657r,https://www.tarladalal.com/calories-for-Mysore-Chutney-South-Indian-Mysore-Chutney-1657,46,11,For Mysore Chutney,cup,Nutrient values (Abbrv) per cup,49.4 g,0 mg,552 Calories,33.5 g,13.5 g,13.7 g,48 mg
Hare Chana Soya Tikki,Hare Chana Soya Tikki Recipe,https://www.tarladalal.com/hare-chane-aur-soya-ki-tikki-39639r,https://www.tarladalal.com/calories-for-Hare-Chane-Aur-Soya-ki-Tikki-39639,46,13,For Hare Chana Soya Tikki | For Serving With Hare Chana Soya Tikki,tikki,Nutrient values (Abbrv) per tikki,10.4 g,0 mg,81 Calories,2.3 g,1.8 g,4.9 g,4 mg
Paneer Pudina Tikki,Paneer Pudina Tikki Recipe (Paneer Hariyali Tikki),https://www.tarladalal.com/paneer-pudina-tikki-2901r,https://www.tarladalal.com/calories-for-Paneer-Pudina-Tikki-2901,46,9,For Paneer Pudina Tikki | For Serving With Paneer Pudina Tikki | For The Garnish,tikki,Nutrient values (Abbrv) per tikki,3.0 g,0 mg,70 Calories,5.2 g,0.3 g,2.8 g,0 mg
Phoolwadi,Phoolwadi Recipe (Fulwadi Gujarati Jar Snack),https://www.tarladalal.com/phoolwadi-recipe-fulwadi-gujarat-jar-snack-42213r,https://www.tarladalal.com/calories-for-Phoolwadi-Recipe-Fulwadi-Gujarati-Jar-Snack-42213,46,11,Main Ingredients,phoolwadi,Nutrient values (Abbrv) per phoolwadi,2.6 g,0 mg,34 Calories,2.2 g,0.6 g,0.8 g,3 mg
Oats Appe,Oats Appe Recipe (Oats Vegetable Appe),https://www.tarladalal.com/oats-appe-oats-vegetable-appe-41758r,https://www.tarladalal.com/calories-for-Oats-Appe-Oats-Vegetable-Appe-41758,46,6,For Oats Appe,appe,Nutrient values (Abbrv) per appe,6.3 g,0 mg,43 Calories,1.0 g,1.2 g,2.3 g,3 mg
Classic Chocolate Fondue,Classic Chocolate Fondue Recipe,https://www.tarladalal.com/classic-chocolate-fondue-22738r,https://www.tarladalal.com/calories-for-Classic-Chocolate-Fondue-22738,46,10,For Serving | Main Ingredients,cup,Nutrient values (Abbrv) per cup,48.8 g,23 mg,713 Calories,60.2 g,2.5 g,10.3 g,97 mg
Sprouted Matki Poha,Sprouted Matki Poha Recipe (Healthy Poha),https://www.tarladalal.com/sprouted-matki-poha-5682r,https://www.tarladalal.com/calories-for-Sprouted-Matki-Poha-5682,46,12,For Sprouted Matki Poha,serving,Nutrient values (Abbrv) per serving,36.2 g,0 mg,199 Calories,3.1 g,1.3 g,6.5 g,10 mg
Farali Handvo,Farali Handvo Recipe (Kand Potato Handvo For Vrat),https://www.tarladalal.com/layered-handva-farali-handvo-recipe-fasting-recipe-vrat-recipe-32547r,https://www.tarladalal.com/calories-for-Layered-Handva-Farali-Handvo-Recipe-Fasting-Recipe-Vrat-Recipe-32547,46,21,For Serving | Other Ingredients | To Be Mixed Into Kand Mixture | To Be Mixed Into Paneer Mixture | To Be Mixed Into Potato Mixture,serving,Nutrient values (Abbrv) per serving,28.5 g,0 mg,269 Calories,14.2 g,2.9 g,6.6 g,7 mg
Khajur Pista Almond Barfi,Khajur Pista Almond Barfi Recipe,https://www.tarladalal.com/khajur-pista-almond-barfi-sugar-free-khajur-barfi-37080r,https://www.tarladalal.com/calories-for-Khajur-Pista-Almond-Barfi-Sugar-Free-Khajur-Barfi-37080,46,6,For Khajur Pista Almond Barfi,pieces.,Nutrient values (Abbrv) per pieces.,18.9 g,0 mg,156 Calories,8.0 g,2.8 g,2.8 g,1 mg
Rajma And Paneer Sandwich,Rajma And Paneer Sandwich Recipe,https://www.tarladalal.com/rajma-and-paneer-sandwich-5653r,https://www.tarladalal.com/calories-for-Rajma-and-Paneer-Sandwich-5653,46,14,For The Filling | Main Ingredients,sandwiche,Nutrient values (Abbrv) per sandwiche,15.2 g,3 mg,139 Calories,6.3 g,1.3 g,6.0 g,71 mg
Amiri Khaman In Microwave,Amiri Khaman In Microwave Recipe (Sev Khamani In Microwave),https://www.tarladalal.com/amiri-khaman--microwave-recipe-34452r,https://www.tarladalal.com/calories-for-Amiri-Khaman--Microwave-Recipe-34452,46,15,For Amiri Khaman | For The Garnish,serving,Nutrient values (Abbrv) per serving,36.0 g,0 mg,353 Calories,19.3 g,6.3 g,8.7 g,30 mg
Masoor Biryani,Masoor Biryani Recipe (Low Cholesterol Recipes),https://www.tarladalal.com/masoor-biryani-5298r,https://www.tarladalal.com/calories-for-Masoor-Biryani-5298,46,20,For The Garnish | For The Masoor Mixture | For The Rice | Other Ingredients | To Be Ground Into A Smooth Paste (using Little Water),serving,Nutrient values (Abbrv) per serving,53.7 g,0 mg,298 Calories,4.0 g,5.2 g,11.6 g,11 mg
Spinach Tahini Wrap,Spinach Tahini Wrap Recipe,https://www.tarladalal.com/spinach-tahini-wraps--nutritious-recipe-for-pregnancy-22444r,https://www.tarladalal.com/calories-for-Spinach-Tahini-Wraps--Nutritious-Recipe-for-Pregnancy-22444,46,23,For The Filling | For The Roti | For The Spicy Tahini Paste | Other Ingredients For Spinach Tahini Wraps | To Be Ground Into Chilli-garlic Paste,wrap,Nutrient values (Abbrv) per wrap,45.6 g,1 mg,305 Calories,9.6 g,10.2 g,10.5 g,302 mg
Vegetable Paneer Grilled Sandwich,Vegetable Paneer Grilled Sandwich Recipe,https://www.tarladalal.com/vegetable-paneer-grilled-sandwich-38059r,https://www.tarladalal.com/calories-for-Vegetable-Paneer-Grilled-Sandwich-38059,46,13,For Vegetable Paneer Grilled Sandwich | To Be Mixed Into A Stuffing,sandwiche,Nutrient values (Abbrv) per sandwiche,27.9 g,23 mg,368 Calories,22.2 g,0.7 g,14.7 g,327 mg
Fruit Punch,Fruit Punch Recipe (Fruit Punch Indian Mocktail),https://www.tarladalal.com/fruit-punch-490r,https://www.tarladalal.com/calories-for-Fruit-Punch-490,46,4,For Fruit Punch,glasse,Nutrient values (Abbrv) per glasse,52.9 g,0 mg,244 Calories,2.5 g,7.2 g,2.6 g,92 mg
Baklava ( Lebanese ),Baklava ( Lebanese ) Recipe (Lebanese Recipes),https://www.tarladalal.com/baklava--lebanese-recipe-22608r,https://www.tarladalal.com/calories-for-Baklava--Lebanese-Recipe-22608,46,11,For The Filling | Main Ingredients,serving,Nutrient values (Abbrv) per serving,31.0 g,0 mg,237 Calories,11.2 g,1.5 g,3.7 g,1 mg
Baked Oondhiya,Baked Oondhiya Recipe (Vegetarian Recipes),https://www.tarladalal.com/baked-oondhiya-53r,https://www.tarladalal.com/calories-for-Baked-Oondhiya-53,46,21,For The Garlic Chutney | For The Green Chutney | For The Sweet and Sour Sauce | Other Ingredients,serving,Nutrient values (Abbrv) per serving,70.0 g,0 mg,343 Calories,3.7 g,9.4 g,7.5 g,87 mg
Rich Chocolate Sponge Cake With Eggs,Rich Chocolate Sponge Cake With Eggs Recipe,https://www.tarladalal.com/chocolate-sponge-cake-using-eggs-indian-style-33919r,https://www.tarladalal.com/calories-for-Chocolate-Sponge-Cake-Using-Eggs-Indian-Style-33919,46,9,For Chocolate Sponge Cake Using Eggs,cake,Nutrient values (Abbrv) per cake,286.8 g,334 mg,2506 Calories,134.4 g,8.8 g,46.8 g,1731 mg
Rava Pongal,Rava Pongal Recipe (South Indian Breakfast),https://www.tarladalal.com/rava-pongal-south-indian-breakfast-recipe-41976r,https://www.tarladalal.com/calories-for-Rava-Pongal-South-Indian-Breakfast-Recipe-41976,46,11,For Serving | for Rava Pongal,serving,Nutrient values (Abbrv) per serving,26.2 g,0 mg,253 Calories,13.5 g,1.2 g,6.7 g,9 mg
Nourishing Moong Soup for Weight Loss,Nourishing Moong Soup for Weight Loss,https://www.tarladalal.com/nourishing-moong-soup--weight-loss-after-pregnancy--33012r,https://www.tarladalal.com/calories-for-Nourishing-Moong-Soup--Weight-Loss-After-Pregnancy--33012,46,8,For Nourishing Moong Soup | For The Garnish,plate,Nutrient values (Abbrv)per plate,16.9 g,0 mg,110 Calories,1.7 g,4.9 g,7.0 g,8 mg
How To Eat Flaxseeds,How To Eat Flaxseeds Recipe (Health Benefits),https://www.tarladalal.com/how-to-eat-flaxseeds-health-benefits-42255r,https://www.tarladalal.com/calories-for-How-To-Eat-Flaxseeds-Health-Benefits-42255,46,3,For Flaxseeds Mukhwas,cup,Nutrient values (Abbrv) per cup,53.9 g,0 mg,952 Calories,74.1 g,48.3 g,32.3 g,1603 mg
Oats Rava Palak Dhokla,Oats Rava Palak Dhokla Recipe (Instant Rava And Oats Dhokla),https://www.tarladalal.com/oats-rava-palak-dhokla-38819r,https://www.tarladalal.com/calories-for-Oats-Rava-Palak-Dhokla-38819,46,7,For Oats Rava Palak Dhokla,piece,Nutrient values (Abbrv) per piece,4.0 g,0 mg,21 Calories,0.2 g,0.2 g,0.8 g,3 mg
Indian Style Avocado Salad,Indian Style Avocado Salad Recipe,https://www.tarladalal.com/avocado-salad-373r,https://www.tarladalal.com/calories-for-Avocado-Salad-373,46,9,For Avocado Salad | To Be Mixed Into A Dressing,plate,Nutrient values (Abbrv)per plate,16.6 g,0 mg,145 Calories,8.2 g,7.8 g,2.9 g,10 mg
Bean Sprouts And Capsicum Salad,Bean Sprouts And Capsicum Salad Recipe,https://www.tarladalal.com/bean-sprouts-and-capsicum-salad-thai-bean-sprouts-bell-pepper-salad-4609r,https://www.tarladalal.com/calories-for-Bean-Sprouts-and-Capsicum-Salad-Thai-Bean-Sprouts-Bell-Pepper-Salad-4609,46,12,For Bean Sprouts and Capsicum Salad | For The Garnish | For The Spicy Dressing,serving,Nutrient values (Abbrv) per serving,3.3 g,0 mg,57 Calories,4.3 g,1.3 g,2.3 g,89 mg
Bajra Aloo Ki Roti,Bajra Aloo Ki Roti Recipe (Rajasthani Bajra Aloo Paratha),https://www.tarladalal.com/bajra-aloo-ki-roti-3015r,https://www.tarladalal.com/calories-for-Bajra-Aloo-ki-Roti-3015,46,12,Bajra Aloo ki Roti | For Serving With Bajra Aloo ki Roti,roti,Nutrient values (Abbrv) per roti,12.7 g,0 mg,74 Calories,1.7 g,2.2 g,2.1 g,3 mg
Piyush,Piyush Recipe (Faral Piyush),https://www.tarladalal.com/piyush-faral-piyush-recipe-32553r,https://www.tarladalal.com/calories-for-Piyush-Faral-Piyush-Recipe-32553,46,7,For Piyush | For The Garnish,serving,Nutrient values (Abbrv) per serving,28.0 g,20 mg,236 Calories,8.3 g,0.0 g,5.5 g,24 mg
Toor Dal,Toor Dal Recipe (Healthy Toovar Dal For Diabetes),https://www.tarladalal.com/toovar-dal-toovar-dal-with-onions-40694r,https://www.tarladalal.com/calories-for-Toovar-Dal-Toovar-Dal-with-Onions-40694,46,14,for Toor dal,serving,Nutrient values (Abbrv) per serving,22.0 g,0 mg,151 Calories,3.7 g,3.3 g,7.5 g,11 mg
Cabbage Paneer Paratha,Cabbage Paneer Paratha Recipe,https://www.tarladalal.com/cabbage-and-paneer-parathas-1481r,https://www.tarladalal.com/calories-for-Cabbage-and-Paneer-Parathas-1481,46,11,For Serving With Cabbage and Paneer Parathas | For The Cabbage and Paneer Parathas Dough | Other Ingredients For Cabbage and Paneer Parathas | To Be Mixed Into A Stuffing For Cabbage and Paneer Parathas,parathas.,Nutrient values (Abbrv) per parathas.,17.2 g,0 mg,192 Calories,11.5 g,1.0 g,5.1 g,5 mg
Cheese Balls,Cheese Balls Recipe (Bread Cheese Balls),https://www.tarladalal.com/cheese-balls-veg-starter-42057r,https://www.tarladalal.com/calories-for-Cheese-Balls-Veg-Starter-42057,46,9,For Cheese Balls | For Serving With Cheese Balls,ball,Nutrient values (Abbrv) per ball,2.6 g,3 mg,49 Calories,3.8 g,0.1 g,1.2 g,43 mg
Eggless Chocolate Mug Cake,Eggless Chocolate Mug Cake Recipe (Microwave Mug Cake),https://www.tarladalal.com/eggless-chocolate-mug-cake-microwave-mug-cake-40422r,https://www.tarladalal.com/calories-for-Eggless-Chocolate-Mug-Cake-Microwave-Mug-Cake-40422,46,8,Eggless Chocolate Mug Cake,serving,Nutrient values (Abbrv) per serving,37.1 g,20 mg,336 Calories,17.5 g,3.4 g,11.9 g,135 mg
Sukhi Bhindi,Sukhi Bhindi Recipe (Punjabi Dry Bhindi),https://www.tarladalal.com/sukhi-bhindi-punjabi-dry-bhindi-recipe-30882r,https://www.tarladalal.com/calories-for-Sukhi-Bhindi-Punjabi-Dry-Bhindi-Recipe-30882,46,13,For Sukhi Bhindi,serving,Nutrient values (Abbrv) per serving,6.1 g,0 mg,213 Calories,20.2 g,2.8 g,1.6 g,8 mg
Baked Tortilla Chips,Baked Tortilla Chips Recipe (Oven Baked Nacho Chips),https://www.tarladalal.com/baked-tortilla-chips-oven-baked-nacho-chips-3517r,https://www.tarladalal.com/calories-for-Baked-Tortilla-Chips-Oven-Baked-Nacho-Chips-3517,46,7,For Baked Tortilla Chips,piece,Nutrient values (Abbrv) per piece,1.9 g,0 mg,10 Calories,0.2 g,0.3 g,0.3 g,0 mg
Broccoli Cheese Balls,Broccoli Cheese Balls Recipe,https://www.tarladalal.com/broccoli-cheese-balls-indian-starter-32750r,https://www.tarladalal.com/calories-for-Broccoli-Cheese-Balls-Indian-Starter-32750,46,11,For The Broccoli Cheese Balls,ball,Nutrient values (Abbrv) per ball,5.2 g,5 mg,89 Calories,6.4 g,0.6 g,3.0 g,129 mg
Baked Doodhi Kofta Curry,Baked Doodhi Kofta Curry Recipe (Healthy Dudhi Kofta Curry),https://www.tarladalal.com/healthy-doodhi-kofta-curry-6404r,https://www.tarladalal.com/calories-for-Healthy-Doodhi-Kofta-Curry-6404,46,20,For Doodhi Koftas | Other Ingredients | To Blend Into Paste,serving,Nutrient values (Abbrv) per serving,12.1 g,0 mg,92 Calories,3.3 g,3.2 g,3.3 g,16 mg
