food_name,serving_type,serving_qty,serving_weight_grams,serving_weight_grams_numeric,serving_phrase,table_value_header,table_daily_value_header,nutrient_count,calcium_daily_value_pct,calcium_value,carbohydrates_daily_value_pct,carbohydrates_value,cholesterol_daily_value_pct,cholesterol_value,energy_daily_value_pct,energy_value,fat_daily_value_pct,fat_value,fiber_daily_value_pct,fiber_value,folic_acid_vitamin_b9_daily_value_pct,folic_acid_vitamin_b9_value,iron_daily_value_pct,iron_value,magnesium_daily_value_pct,magnesium_value,phosphorus_daily_value_pct,phosphorus_value,potassium_daily_value_pct,potassium_value,protein_daily_value_pct,protein_value,sodium_daily_value_pct,sodium_value,vitamin_a_daily_value_pct,vitamin_a_value,vitamin_b1_thiamine_daily_value_pct,vitamin_b1_thiamine_value,vitamin_b2_riboflavin_daily_value_pct,vitamin_b2_riboflavin_value,vitamin_b3_niacin_daily_value_pct,vitamin_b3_niacin_value,vitamin_c_daily_value_pct,vitamin_c_value,vitamin_e_daily_value_pct,vitamin_e_value,zinc_daily_value_pct,zinc_value
(70 grams) of Thalipeeth,thalipeeth,1 thalipeeth,70 grams,70,(70 grams) of Thalipeeth,Value thalipeeth,% Daily Values,20,6%,64.8 mg,8%,22.6 g,0%,0.0 mg,7%,150 kcal,8%,4.83 g,13%,3.95 g,7%,21.6 mcg,9%,1.8 mg,12%,52.3 mg,11%,108.5 mg,4%,138.0 mg,7%,4.3 g,0%,8.7 mg,11%,107.6 mcg,12%,0.2 mg,3%,0.1 mg,8%,1.1 mg,5%,4.0 mg,1%,0.1 mg,6%,1.0 mg
⅓ cup Powdered Soya Chunks,1/3 cup,1 1/3 cup,,,⅓ cup Powdered Soya Chunks,Value per 1/3 cup,% Daily Values,20,53%,530.9 mg,17%,46.2 g,0%,0.1 mg,48%,956 kcal,72%,43.15 g,170%,50.88 g,74%,221.2 mcg,121%,23.0 mg,88%,387.1 mg,153%,1526.4 mg,114%,3975.2 mg,159%,95.6 g,0%,4.4 mg,94%,942.4 mcg,115%,1.6 mg,42%,0.8 mg,51%,7.1 mg,17%,13.3 mg,27%,2.0 mg,44%,7.5 mg
Herbed Fusilli In Pink Sauce Recipe,serving,1 serving,,,,Value serving,% Daily Values,20,19%,186.3 mg,18%,49.8 g,7%,20.7 mg,20%,404 kcal,28%,16.73 g,10%,3.00 g,11%,33.9 mcg,5%,1.0 mg,7%,31.1 mg,13%,127.1 mg,8%,286.0 mg,19%,11.2 g,7%,138.4 mg,67%,669.0 mcg,15%,0.2 mg,8%,0.2 mg,4%,0.5 mg,58%,46.3 mg,2%,0.2 mg,1%,0.2 mg
Pear Juice,cup,1 cup,,,cup of Pear Juice,Value per cup,% Daily Values,20,3%,27.1 mg,15%,40.3 g,0%,0.0 mg,9%,176 kcal,1%,0.68 g,49%,14.56 g,9%,27.1 mcg,9%,1.7 mg,5%,23.7 mg,5%,50.8 mg,9%,325.1 mg,3%,2.0 g,1%,20.7 mg,9%,94.8 mcg,14%,0.2 mg,5%,0.1 mg,5%,0.7 mg,16%,12.9 mg,4%,0.3 mg,0%,0.0 mg
"Bajra, Carrot and Onion Uttapam",uttapa,1 uttapa,,,"Bajra, Carrot and Onion Uttapam",Value uttapa,% Daily Values,20,2%,17.6 mg,5%,12.5 g,0%,0.0 mg,4%,73 kcal,3%,1.66 g,7%,2.14 g,3%,9.1 mcg,7%,1.4 mg,6%,24.7 mg,7%,74.9 mg,2%,75.9 mg,3%,2.0 g,0%,4.0 mg,15%,153.0 mcg,4%,0.1 mg,2%,0.0 mg,3%,0.4 mg,4%,3.4 mg,1%,0.0 mg,3%,0.5 mg
Corn Bhel,serving,1 serving,,,serving of Corn Bhel,Value serving,% Daily Values,20,3%,27.9 mg,9%,25.6 g,0%,0.0 mg,7%,143 kcal,7%,3.93 g,8%,2.46 g,9%,26.9 mcg,6%,1.1 mg,6%,24.2 mg,6%,55.7 mg,5%,186.2 mg,6%,3.6 g,0%,7.9 mg,27%,270.9 mcg,6%,0.1 mg,4%,0.1 mg,4%,0.5 mg,18%,14.6 mg,3%,0.2 mg,2%,0.4 mg
Makai Ka Halwa Recipe (Mughlai Recipes),serving,1 serving,,,,Value serving,% Daily Values,20,12%,118.8 mg,16%,44.8 g,3%,8.0 mg,17%,345 kcal,26%,15.58 g,9%,2.62 g,7%,20.8 mcg,5%,0.9 mg,10%,43.6 mg,15%,148.6 mg,5%,182.4 mg,10%,6.3 g,1%,14.8 mg,16%,155.3 mcg,8%,0.1 mg,7%,0.1 mg,3%,0.4 mg,4%,3.0 mg,1%,0.1 mg,3%,0.6 mg
Palak Kadhi,serving,1 serving,,,serving of Palak Kadhi,Value serving,% Daily Values,20,10%,95.3 mg,4%,9.9 g,0%,0.1 mg,3%,61 kcal,1%,0.74 g,7%,2.00 g,18%,52.9 mcg,7%,1.3 mg,9%,37.8 mg,4%,42.3 mg,4%,124.6 mg,6%,3.6 g,2%,44.4 mg,200%,2003.0 mcg,3%,0.0 mg,5%,0.1 mg,3%,0.4 mg,12%,9.6 mg,9%,0.7 mg,1%,0.2 mg
tablespoon of Ginger Chutney,tbsp,1 tbsp,,,tablespoon of Ginger Chutney,Value per tbsp,% Daily Values,20,7%,67.8 mg,25%,69.7 g,0%,0.0 mg,27%,547 kcal,50%,29.75 g,2%,0.72 g,2%,7.5 mcg,13%,2.4 mg,2%,6.9 mg,4%,39.4 mg,6%,225.3 mg,4%,2.2 g,1%,11.2 mg,27%,271.1 mcg,2%,0.0 mg,1%,0.0 mg,1%,0.1 mg,2%,1.2 mg,0%,0.0 mg,1%,0.1 mg
Hariyali Dalia Pulao Recipe (Broken Wheat And Herb Pulao),serving,1 serving,,,,Value serving,% Daily Values,20,3%,31.5 mg,11%,29.1 g,0%,0.0 mg,9%,185 kcal,10%,6.15 g,3%,1.02 g,2%,6.1 mcg,15%,2.9 mg,13%,56.3 mg,12%,115.8 mg,3%,103.9 mg,6%,3.4 g,0%,3.4 mg,50%,497.3 mcg,20%,0.3 mg,3%,0.1 mg,13%,1.8 mg,6%,5.1 mg,1%,0.1 mg,0%,0.0 mg
serving (100 grams) of Bajra Kanji,serving,1 serving,100 grams,100,serving (100 grams) of Bajra Kanji,Value serving,% Daily Values,20,3%,26.7 mg,1%,3.5 g,0%,0.0 mg,1%,28 kcal,2%,1.05 g,2%,0.45 g,1%,1.8 mcg,2%,0.3 mg,2%,8.2 mg,2%,16.1 mg,0%,12.3 mg,2%,1.0 g,4%,73.4 mg,5%,54.4 mcg,1%,0.0 mg,1%,0.0 mg,1%,0.1 mg,0%,0.0 mg,0%,0.0 mg,1%,0.1 mg
Gavarfali ki Sukhi Subzi,serving,1 serving,,,serving of Gavarfali ki Sukhi Subzi,Value serving,% Daily Values,20,10%,101.3 mg,4%,10.0 g,0%,0.0 mg,3%,52 kcal,6%,3.64 g,14%,4.12 g,34%,102.1 mcg,5%,0.9 mg,8%,36.4 mg,5%,50.9 mg,1%,27.9 mg,4%,2.5 g,0%,0.9 mg,17%,168.7 mcg,6%,0.1 mg,1%,0.0 mg,4%,0.5 mg,46%,36.7 mg,0%,0.0 mg,2%,0.4 mg
Dahi Idli,serving,1 serving,,,serving of Dahi Idli,Value serving,% Daily Values,20,23%,228.4 mg,6%,16.7 g,5%,16.0 mg,11%,223 kcal,19%,11.51 g,4%,1.32 g,7%,19.7 mcg,4%,0.8 mg,4%,19.4 mg,13%,131.1 mg,5%,173.2 mg,11%,6.9 g,1%,23.6 mg,31%,312.5 mcg,3%,0.0 mg,5%,0.1 mg,5%,0.7 mg,4%,3.0 mg,0%,0.0 mg,4%,0.6 mg
tablespoon of Beetroot Hummus,tbsp,1 tbsp,,,tablespoon of Beetroot Hummus,Value per tbsp,% Daily Values,20,23%,230.5 mg,12%,32.1 g,3%,8.0 mg,27%,538 kcal,65%,38.94 g,42%,12.72 g,28%,85.3 mcg,15%,2.9 mg,32%,139.3 mg,27%,265.8 mg,16%,559.7 mg,20%,12.2 g,2%,30.7 mg,39%,391.5 mcg,13%,0.2 mg,10%,0.2 mg,13%,1.9 mg,12%,9.6 mg,48%,3.6 mg,11%,1.8 mg
cup Basic Vegetable Stock,cup,1 cup,,,cup Basic Vegetable Stock,Value per cup,% Daily Values,20,5%,48.2 mg,1%,3.9 g,0%,0.0 mg,1%,19 kcal,0%,0.09 g,4%,1.19 g,2%,4.6 mcg,5%,0.9 mg,0%,0.0 mg,0%,0.0 mg,1%,40.9 mg,1%,0.8 g,0%,7.9 mg,21%,210.6 mcg,3%,0.0 mg,2%,0.0 mg,2%,0.3 mg,27%,21.4 mg,-7%,-0.6 mg,1%,0.2 mg
How To Cook Perfect Basmati Rice In A Pan Or Pot Indian Style Recipe,cup,1 cup,,,,Value per cup,% Daily Values,20,1%,5.3 mg,15%,41.7 g,0%,0.0 mg,14%,274 kcal,17%,10.27 g,0%,0.11 g,1%,4.3 mcg,2%,0.4 mg,11%,48.0 mg,9%,85.3 mg,1%,41.1 mg,6%,3.6 g,0%,3.7 mg,9%,90.0 mcg,2%,0.0 mg,2%,0.0 mg,7%,1.0 mg,0%,0.1 mg,0%,0.0 mg,4%,0.7 mg
Orange Kheer Recipe (Santre Ki Kheer),serving,1 serving,,,,Value serving,% Daily Values,20,40%,395.6 mg,13%,35.9 g,10%,28.8 mg,16%,324 kcal,20%,12.00 g,3%,0.96 g,10%,30.0 mcg,5%,0.9 mg,10%,44.0 mg,25%,254.4 mg,5%,183.2 mg,14%,8.5 g,2%,36.1 mg,68%,676.8 mcg,11%,0.2 mg,11%,0.2 mg,5%,0.8 mg,15%,12.4 mg,1%,0.1 mg,1%,0.1 mg
serving (180 ml) of Rajma Soup,serving,1 serving,,,serving (180 ml) of Rajma Soup,Value serving,% Daily Values,20,6%,59.0 mg,3%,9.2 g,0%,0.0 mg,3%,68 kcal,4%,2.26 g,5%,1.53 g,17%,51.2 mcg,5%,0.9 mg,6%,24.7 mg,5%,54.0 mg,7%,229.1 mg,4%,2.6 g,0%,8.4 mg,22%,223.6 mcg,7%,0.1 mg,2%,0.0 mg,3%,0.4 mg,23%,18.7 mg,0%,0.0 mg,3%,0.4 mg
Cream Style Sweet Corn Soup,serving,1 serving,,,serving of Cream Style Sweet Corn Soup,Value serving,% Daily Values,20,1%,11.3 mg,8%,20.8 g,0%,0.0 mg,5%,95 kcal,1%,0.71 g,1%,0.43 g,19%,57.2 mcg,4%,0.7 mg,1%,4.8 mg,1%,8.7 mg,5%,165.0 mg,2%,1.5 g,15%,305.9 mg,0%,3.2 mcg,5%,0.1 mg,4%,0.1 mg,10%,1.4 mg,8%,6.4 mg,0%,0.0 mg,4%,0.6 mg
Whole Wheat Masala Paneer Naan Recipe,naan,1 naan,,,,Value per naan,% Daily Values,20,14%,135.5 mg,7%,18.7 g,2%,6.5 mg,9%,181 kcal,16%,9.43 g,9%,2.67 g,3%,8.1 mcg,6%,1.1 mg,7%,29.0 mg,15%,149.5 mg,2%,71.3 mg,10%,6.1 g,1%,25.5 mg,22%,219.6 mcg,9%,0.1 mg,2%,0.0 mg,7%,0.9 mg,2%,1.4 mg,3%,0.2 mg,3%,0.5 mg
serving (200 grams) of Masala Cauliflower with Green Peas sabzi,serving,1 serving,200 grams,200,serving (200 grams) of Masala Cauliflower with Green Peas sabzi,Value serving,% Daily Values,20,4%,40.1 mg,5%,13.1 g,0%,0.0 mg,5%,107 kcal,6%,3.78 g,22%,6.50 g,10%,29.5 mcg,8%,1.5 mg,7%,30.1 mg,11%,114.6 mg,4%,140.5 mg,9%,5.3 g,1%,26.9 mg,28%,284.9 mcg,3%,0.0 mg,2%,0.0 mg,4%,0.5 mg,40%,32.3 mg,2%,0.2 mg,2%,0.3 mg
glass Pineapple Celery Juice,glass,220 ml,,,glass Pineapple Celery Juice,Value per glass,% Daily Values,20,6%,62.6 mg,7%,18.6 g,0%,0.0 mg,4%,80 kcal,0%,0.20 g,16%,4.84 g,2%,4.5 mcg,24%,4.6 mg,13%,56.6 mg,2%,19.8 mg,3%,99.4 mg,1%,0.8 g,3%,67.8 mg,9%,92.3 mcg,25%,0.3 mg,10%,0.2 mg,1%,0.2 mg,83%,66.4 mg,1%,0.0 mg,1%,0.2 mg
Red Chilli Paste Recipe (Jain Recipes),tsp,1 tsp,,,,Value per tsp,% Daily Values,20,4%,35.1 mg,2%,6.3 g,0%,0.1 mg,2%,32 kcal,1%,0.33 g,14%,4.24 g,5%,14.8 mcg,5%,1.0 mg,10%,45.0 mg,3%,32.8 mg,7%,232.9 mg,2%,1.1 g,0%,4.4 mg,27%,267.4 mcg,27%,0.4 mg,3%,0.1 mg,3%,0.4 mg,123%,98.2 mg,3%,0.2 mg,2%,0.4 mg
serving of Baingan Methi ki Sabzi,serving,200 grams,200 grams,200,serving of Baingan Methi ki Sabzi,Value serving,% Daily Values,20,11%,113.3 mg,4%,10.4 g,0%,0.0 mg,5%,96 kcal,7%,4.19 g,35%,10.36 g,18%,54.3 mcg,6%,1.2 mg,11%,46.6 mg,10%,96.8 mg,9%,322.8 mg,7%,4.3 g,1%,17.1 mg,45%,447.1 mcg,8%,0.1 mg,10%,0.2 mg,11%,1.5 mg,29%,23.4 mg,5%,0.4 mg,5%,0.8 mg
Khoya Makhana Recipe (Indian Vegetarian Recipes),serving,1 serving,,,,Value serving,% Daily Values,20,19%,190.7 mg,3%,8.7 g,1%,1.6 mg,15%,298 kcal,45%,27.13 g,3%,0.87 g,6%,17.8 mcg,3%,0.5 mg,3%,14.0 mg,10%,104.0 mg,4%,125.6 mg,7%,4.2 g,0%,8.5 mg,41%,405.5 mcg,9%,0.1 mg,5%,0.1 mg,2%,0.3 mg,19%,14.9 mg,0%,0.0 mg,0%,0.1 mg
Matki Salad,serving,1 serving,,,serving of Matki Salad,Value serving,% Daily Values,20,9%,94.6 mg,8%,23.3 g,0%,0.0 mg,7%,133 kcal,1%,0.49 g,9%,2.57 g,2%,4.5 mcg,19%,3.7 mg,0%,0.0 mg,0%,0.0 mg,12%,428.8 mg,15%,8.9 g,1%,15.6 mg,33%,327.2 mcg,13%,0.2 mg,2%,0.0 mg,5%,0.7 mg,23%,18.6 mg,-10%,-0.7 mg,1%,0.1 mg
Indian Style Stir Fry Noodles Recipe,serving,1 serving,,,,Value serving,% Daily Values,20,25%,250.7 mg,17%,47.4 g,0%,0.0 mg,24%,472 kcal,43%,25.91 g,7%,2.17 g,1%,3.5 mcg,3%,0.5 mg,0%,0.0 mg,0%,0.0 mg,2%,57.2 mg,21%,12.8 g,12%,233.5 mg,31%,305.6 mcg,-29%,-0.4 mg,-23%,-0.5 mg,8%,1.1 mg,12%,9.4 mg,-21%,-1.6 mg,2%,0.4 mg
Goda Masala Recipe (Maharashtrian Goda Masala),cup,1 cup,,,,Value cup,% Daily Values,20,8%,84.8 mg,1%,2.9 g,0%,0.0 mg,8%,155 kcal,25%,15.27 g,5%,1.44 g,3%,8.2 mcg,6%,1.2 mg,4%,17.6 mg,5%,47.4 mg,1%,23.4 mg,3%,1.5 g,0%,0.6 mg,7%,70.5 mcg,4%,0.1 mg,1%,0.0 mg,4%,0.5 mg,1%,0.7 mg,0%,0.0 mg,4%,0.6 mg
Palak Shorba Recipe (Mughlai Recipes),serving,1 serving,,,,Value serving,% Daily Values,20,16%,160.4 mg,2%,4.9 g,0%,0.0 mg,5%,108 kcal,12%,7.01 g,6%,1.87 g,30%,88.7 mcg,6%,1.2 mg,0%,0.0 mg,0%,0.0 mg,5%,191.8 mg,6%,3.6 g,2%,49.6 mg,394%,3936.1 mcg,3%,0.0 mg,12%,0.2 mg,3%,0.4 mg,26%,21.1 mg,-17%,-1.3 mg,1%,0.2 mg
Moyettes Recipe (Mexican Style Open Bun),serving,1 serving,,,,Value serving,% Daily Values,20,8%,78.7 mg,9%,23.8 g,4%,10.5 mg,9%,180 kcal,12%,7.17 g,4%,1.26 g,12%,34.5 mcg,6%,1.2 mg,4%,17.9 mg,8%,75.1 mg,5%,175.4 mg,9%,5.6 g,8%,164.0 mg,65%,652.8 mcg,3%,0.0 mg,1%,0.0 mg,5%,0.7 mg,19%,15.0 mg,3%,0.2 mg,3%,0.5 mg
Cooked Rice Pancake,pancake,1 pancake,,,Cooked Rice Pancake,Value pancake,% Daily Values,20,2%,20.2 mg,6%,16.1 g,0%,0.0 mg,5%,93 kcal,3%,1.84 g,8%,2.50 g,6%,16.5 mcg,4%,0.8 mg,6%,27.2 mg,9%,87.5 mg,3%,97.7 mg,5%,3.1 g,1%,12.0 mg,19%,187.3 mcg,5%,0.1 mg,2%,0.0 mg,4%,0.6 mg,9%,7.3 mg,1%,0.1 mg,2%,0.4 mg
serving (185 grams) of Papad Mangodi ki Sabzi,serving,1 serving,185 grams,185,serving (185 grams) of Papad Mangodi ki Sabzi,Value serving,% Daily Values,20,12%,123.8 mg,8%,22.9 g,3%,8.0 mg,12%,237 kcal,19%,11.25 g,13%,3.93 g,13%,37.8 mcg,6%,1.1 mg,8%,37.3 mg,7%,66.1 mg,10%,332.5 mg,18%,10.8 g,1%,16.3 mg,16%,159.8 mcg,10%,0.1 mg,5%,0.1 mg,5%,0.7 mg,1%,0.5 mg,0%,0.0 mg,4%,0.7 mg
piece (15 grams weight) dry fruit Chikki,piece,1 piece,,,piece (15 grams weight) dry fruit Chikki,Value per piece,% Daily Values,20,1%,10.3 mg,3%,9.6 g,0%,0.0 mg,4%,80 kcal,7%,3.90 g,0%,0.12 g,1%,4.1 mcg,2%,0.4 mg,5%,23.1 mg,3%,34.0 mg,2%,58.6 mg,3%,1.5 g,0%,0.4 mg,0%,3.9 mcg,3%,0.0 mg,1%,0.0 mg,1%,0.2 mg,0%,0.1 mg,11%,0.8 mg,2%,0.3 mg
Baked Chaklis,chakli,1 chakli,,,Baked Chaklis,Value per chakli,% Daily Values,20,1%,6.8 mg,1%,3.8 g,0%,0.0 mg,1%,20 kcal,0%,0.29 g,0%,0.13 g,0%,0.4 mcg,0%,0.0 mg,1%,2.6 mg,1%,6.1 mg,0%,4.1 mg,1%,0.4 g,0%,1.7 mg,1%,9.9 mcg,0%,0.0 mg,0%,0.0 mg,1%,0.1 mg,0%,0.0 mg,0%,0.0 mg,0%,0.1 mg
Poha Idli,idli,1 idli,,,serving of Poha Idli,Value idli,% Daily Values,20,1%,10.3 mg,3%,8.5 g,0%,0.4 mg,2%,42 kcal,0%,0.25 g,1%,0.33 g,1%,4.3 mcg,1%,0.2 mg,3%,11.9 mg,3%,28.0 mg,1%,30.6 mg,2%,1.3 g,0%,2.2 mg,1%,5.0 mcg,1%,0.0 mg,1%,0.0 mg,2%,0.2 mg,0%,0.0 mg,0%,0.0 mg,1%,0.2 mg
tablespoon ( 15 grams) Jain Pizza Sauce,tbsp,1 tbsp,,,tablespoon ( 15 grams) Jain Pizza Sauce,Value per tbsp,% Daily Values,20,10%,102.5 mg,4%,9.8 g,0%,0.0 mg,5%,95 kcal,9%,5.42 g,11%,3.40 g,21%,61.9 mcg,8%,1.4 mg,6%,24.7 mg,4%,41.8 mg,9%,299.6 mg,3%,2.0 g,2%,30.6 mg,76%,760.9 mcg,17%,0.2 mg,6%,0.1 mg,6%,0.8 mg,67%,53.6 mg,10%,0.8 mg,0%,0.0 mg
Bhindi Do Pyaza,serving,1 serving,,,serving of Bhindi Do Pyaza,Value serving,% Daily Values,20,15%,148.7 mg,4%,10.1 g,2%,6.0 mg,6%,120 kcal,11%,6.39 g,11%,3.38 g,33%,98.0 mcg,3%,0.5 mg,13%,58.4 mg,11%,110.4 mg,4%,155.0 mg,6%,3.6 g,1%,14.2 mg,14%,140.7 mcg,7%,0.1 mg,7%,0.1 mg,5%,0.7 mg,18%,14.6 mg,0%,0.0 mg,3%,0.5 mg
Low Calorie Green Peas Soup,serving,1 serving,,,serving of low calorie green peas soup,Value serving,% Daily Values,20,1%,14.4 mg,3%,9.3 g,0%,0.0 mg,3%,53 kcal,0%,0.06 g,15%,4.57 g,2%,5.2 mcg,4%,0.8 mg,4%,19.2 mg,8%,77.1 mg,1%,52.0 mg,6%,3.9 g,0%,4.4 mg,4%,43.6 mcg,1%,0.0 mg,0%,0.0 mg,0%,0.0 mg,7%,5.6 mg,1%,0.1 mg,0%,0.0 mg
glass Ginger Milk Recipe,glass,1 glass,,,glass Ginger Milk Recipe,Value per glass,% Daily Values,20,21%,210.0 mg,3%,7.0 g,5%,16.0 mg,6%,125 kcal,11%,6.50 g,0%,0.00 g,2%,5.6 mcg,1%,0.2 mg,4%,19.0 mg,13%,130.0 mg,3%,90.0 mg,7%,4.3 g,1%,19.0 mg,16%,160.0 mcg,3%,0.0 mg,5%,0.1 mg,1%,0.1 mg,1%,1.0 mg,0%,0.0 mg,2%,0.3 mg
Clear Soup with Spinach and Mushrooms,serving,1 serving,,,serving of Clear Soup with Spinach and Mushrooms,Value serving,% Daily Values,20,5%,51.0 mg,1%,3.9 g,0%,0.0 mg,2%,48 kcal,5%,3.14 g,6%,1.78 g,8%,24.9 mcg,6%,1.1 mg,4%,17.5 mg,12%,118.6 mg,4%,133.1 mg,2%,1.1 g,3%,66.1 mg,96%,957.1 mcg,3%,0.0 mg,5%,0.1 mg,6%,0.8 mg,23%,18.3 mg,3%,0.3 mg,2%,0.3 mg
serving of Paneer in White Gravy,serving,130 grams,130 grams,130,serving of Paneer in White Gravy,Value serving,% Daily Values,20,28%,277.4 mg,4%,10.1 g,2%,6.0 mg,13%,259 kcal,35%,20.74 g,1%,0.40 g,3%,8.6 mcg,3%,0.6 mg,7%,30.2 mg,19%,185.0 mg,3%,111.6 mg,13%,7.9 g,1%,12.4 mg,40%,398.2 mcg,7%,0.1 mg,3%,0.1 mg,2%,0.2 mg,11%,8.6 mg,2%,0.1 mg,2%,0.4 mg
glass (250 ml) of Muskmelon Juice,glass,1 glass,,,glass (250 ml) of Muskmelon Juice,Value per glass,% Daily Values,20,6%,55.0 mg,2%,6.4 g,0%,0.0 mg,2%,31 kcal,1%,0.39 g,5%,1.37 g,1%,2.3 mcg,11%,2.1 mg,11%,48.4 mg,2%,22.0 mg,15%,538.5 mg,1%,0.6 g,8%,157.1 mg,25%,253.5 mcg,12%,0.2 mg,6%,0.1 mg,3%,0.5 mg,54%,42.9 mg,0%,0.0 mg,1%,0.2 mg
Moong Dahi Misal,serving,1 serving,,,serving of Moong Dahi Misal,Value serving,% Daily Values,20,23%,230.8 mg,22%,60.7 g,3%,8.0 mg,18%,364 kcal,7%,4.24 g,43%,12.82 g,138%,413.8 mcg,21%,4.0 mg,25%,108.5 mg,29%,292.8 mg,22%,780.8 mg,30%,18.3 g,2%,34.9 mg,91%,914.8 mcg,27%,0.4 mg,13%,0.3 mg,13%,1.8 mg,25%,20.1 mg,5%,0.4 mg,12%,2.0 mg
Gongura Pulihora Recipe (Andhra Style Pulao),serving,1 serving,,,,Value serving,% Daily Values,20,8%,84.3 mg,12%,32.1 g,0%,0.0 mg,16%,317 kcal,30%,18.13 g,6%,1.80 g,12%,35.7 mcg,11%,2.0 mg,20%,87.4 mg,14%,135.2 mg,5%,160.8 mg,12%,7.2 g,0%,8.0 mg,120%,1199.8 mcg,11%,0.2 mg,10%,0.2 mg,16%,2.2 mg,10%,7.7 mg,10%,0.7 mg,6%,1.0 mg
Masoor Dal with Spinach,serving,1 serving,,,serving of Masoor Dal with Spinach,Value serving,% Daily Values,20,5%,53.2 mg,9%,24.0 g,0%,0.0 mg,9%,186 kcal,9%,5.44 g,16%,4.87 g,14%,42.2 mcg,19%,3.6 mg,11%,46.3 mg,12%,122.0 mg,8%,289.6 mg,17%,10.2 g,1%,15.3 mg,117%,1167.7 mcg,15%,0.2 mg,7%,0.1 mg,9%,1.3 mg,16%,12.8 mg,5%,0.3 mg,7%,1.3 mg
Hara Bhara Kebab,roll,1 roll,,,Hara Bhara Kebab,Value per roll,% Daily Values,20,6%,63.9 mg,4%,12.2 g,0%,0.0 mg,6%,118 kcal,10%,5.99 g,6%,1.86 g,14%,41.5 mcg,7%,1.3 mg,6%,28.0 mg,5%,50.9 mg,3%,98.9 mg,6%,3.8 g,2%,43.7 mg,165%,1651.5 mcg,3%,0.0 mg,4%,0.1 mg,3%,0.4 mg,11%,8.7 mg,8%,0.6 mg,1%,0.2 mg
plate Ragda Pattice,plate,1 plate,,,plate Ragda Pattice,Value per plate,% Daily Values,20,8%,79.7 mg,21%,58.2 g,0%,0.0 mg,21%,417 kcal,24%,14.60 g,22%,6.65 g,18%,53.6 mcg,25%,4.7 mg,15%,65.9 mg,16%,156.8 mg,18%,628.8 mg,22%,13.3 g,2%,32.2 mg,88%,883.1 mcg,28%,0.4 mg,8%,0.2 mg,22%,3.0 mg,45%,36.2 mg,3%,0.3 mg,10%,1.6 mg
Gujarati Toovar Dal,serving,1 serving,,,serving of Gujarati Toovar Dal,Value serving,% Daily Values,20,3%,33.5 mg,8%,21.8 g,0%,0.0 mg,7%,144 kcal,7%,4.18 g,7%,2.18 g,8%,25.4 mcg,5%,0.9 mg,5%,20.9 mg,7%,69.6 mg,7%,257.9 mg,8%,4.8 g,0%,8.1 mg,20%,198.8 mcg,8%,0.1 mg,2%,0.0 mg,5%,0.7 mg,8%,6.6 mg,1%,0.0 mg,1%,0.2 mg
Dhokla Sushi With Bell Peppers Recipe,piece,1 piece,,,,Value per piece,% Daily Values,20,1%,13.3 mg,1%,1.8 g,1%,1.5 mg,2%,35 kcal,4%,2.68 g,1%,0.39 g,0%,1.4 mcg,1%,0.1 mg,0%,0.0 mg,0%,0.0 mg,0%,9.4 mg,1%,0.7 g,1%,18.1 mg,3%,34.7 mcg,2%,0.0 mg,0%,0.0 mg,1%,0.1 mg,6%,5.2 mg,-3%,-0.2 mg,0%,0.1 mg
Nachos with Cheese Sauce,serving,1 serving,,,serving of Nachos with Cheese Sauce,Value serving,% Daily Values,20,56%,558.0 mg,10%,28.0 g,22%,66.0 mg,23%,463 kcal,51%,30.82 g,5%,1.62 g,3%,7.9 mcg,11%,2.1 mg,7%,31.2 mg,43%,426.2 mg,4%,128.0 mg,31%,18.7 g,38%,756.5 mg,41%,410.1 mcg,10%,0.1 mg,4%,0.1 mg,5%,0.7 mg,25%,19.6 mg,1%,0.1 mg,3%,0.5 mg
Choux Pastry Recipe (French Light Pastry Dough With Eggs),tbsp,1 tbsp,,,,Value per tbsp,% Daily Values,20,10%,97.5 mg,25%,67.4 g,47%,140.0 mg,47%,947 kcal,106%,63.75 g,1%,0.23 g,35%,104.4 mcg,25%,4.8 mg,9%,39.6 mg,39%,392.7 mg,3%,110.1 mg,43%,25.8 g,75%,1502.9 mg,261%,2610.3 mcg,16%,0.2 mg,29%,0.6 mg,14%,1.9 mg,0%,0.0 mg,35%,2.6 mg,3%,0.4 mg
Masala Bread Loaf Recipe,slices,1 slices,,,,Value per slices,% Daily Values,20,7%,74.3 mg,86%,235.4 g,30%,90.0 mg,68%,1350 kcal,53%,31.67 g,4%,1.08 g,0%,0.0 mcg,40%,7.5 mg,0%,0.0 mg,0%,0.0 mg,11%,382.2 mg,51%,30.5 g,16%,326.4 mg,164%,1635.8 mcg,24%,0.3 mg,10%,0.2 mg,48%,6.7 mg,10%,8.1 mg,-47%,-3.5 mg,10%,1.7 mg
tablespoon of Shimla Mirch ki Launji,tbsp,1 tbsp,,,tablespoon of Shimla Mirch ki Launji,Value per tbsp,% Daily Values,20,2%,18.1 mg,18%,50.2 g,0%,0.0 mg,29%,574 kcal,68%,40.55 g,13%,3.99 g,6%,18.1 mcg,5%,1.0 mg,5%,21.8 mg,5%,54.4 mg,9%,317.3 mg,4%,2.4 g,0%,5.4 mg,113%,1134.3 mcg,71%,1.0 mg,5%,0.1 mg,1%,0.2 mg,311%,248.6 mg,10%,0.7 mg,1%,0.2 mg
